City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,-12.72,71,10,15.0,RU,2023-11-13
1,mount pearl,47.5166,-52.7813,-0.58,82,100,4.12,CA,2023-11-13
2,adamstown,-25.066,-130.1015,22.78,85,100,7.8,PN,2023-11-13
3,forio,40.7342,13.8646,18.23,93,42,3.08,IT,2023-11-13
4,crane,31.3974,-102.3501,11.13,83,100,3.42,US,2023-11-13
5,saipan,15.1355,145.701,31.39,66,40,8.75,MP,2023-11-13
6,san luis de la loma,17.2706,-100.8939,26.91,82,14,2.5,MX,2023-11-13
7,kuta,-8.7233,115.1723,28.97,88,75,3.6,ID,2023-11-13
8,naracoorte,-36.9579,140.7383,12.44,90,100,1.52,AU,2023-11-13
9,vorgashor,67.5833,63.95,-13.36,89,100,3.64,RU,2023-11-13
10,vershino-darasunskiy,52.35,115.5167,-8.43,70,85,1.61,RU,2023-11-13
11,bethel,41.3712,-73.414,5.2,79,75,0.0,US,2023-11-13
12,edinburgh of the seven seas,-37.0676,-12.3116,13.47,79,10,12.21,SH,2023-11-13
13,tazovsky,67.4667,78.7,-21.0,100,22,2.5,RU,2023-11-13
14,hamilton,39.1834,-84.5333,11.72,51,0,2.06,US,2023-11-13
15,parfino,57.9731,31.6481,1.13,97,100,2.87,RU,2023-11-13
16,tiksi,71.6872,128.8694,-15.62,95,100,2.4,RU,2023-11-13
17,la passe,45.5549,-0.8967,15.55,96,100,5.81,FR,2023-11-13
18,afaahiti,-17.75,-149.2833,28.93,89,91,6.02,PF,2023-11-13
19,ushuaia,-54.8,-68.3,1.81,80,40,10.8,AR,2023-11-13
20,bredasdorp,-34.5322,20.0403,14.94,78,10,7.77,ZA,2023-11-13
21,waitangi,-43.9535,-176.5597,13.25,89,3,9.11,NZ,2023-11-13
22,port-aux-francais,-49.35,70.2167,6.71,97,100,15.92,TF,2023-11-13
23,iqaluit,63.7506,-68.5145,-17.95,64,0,2.57,CA,2023-11-13
24,east london,-33.0153,27.9116,15.85,73,97,3.02,ZA,2023-11-13
25,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,2023-11-13
26,grytviken,-54.2811,-36.5092,2.01,99,100,3.58,GS,2023-11-13
27,arraial do cabo,-22.9661,-42.0278,24.98,88,0,1.54,BR,2023-11-13
28,bilibino,68.0546,166.4372,-28.14,100,100,1.67,RU,2023-11-13
29,azadshahr,34.7909,48.5707,2.27,70,0,1.03,IR,2023-11-13
30,albany,42.6001,-73.9662,1.86,79,82,0.97,US,2023-11-13
31,daulatpur,26.5015,67.9706,21.0,26,100,2.12,PK,2023-11-13
32,ilulissat,69.2167,-51.1,-4.99,68,75,3.09,GL,2023-11-13
33,blackmans bay,-43.0167,147.3167,16.96,45,15,1.34,AU,2023-11-13
34,al khafji,28.4391,48.4913,22.85,60,1,2.13,SA,2023-11-13
35,nar'yan-mar,67.6713,53.087,-11.05,88,100,4.02,RU,2023-11-13
36,puerto natales,-51.7236,-72.4875,1.74,84,93,5.03,CL,2023-11-13
37,itamaraca,-7.7478,-34.8256,27.03,80,69,3.07,BR,2023-11-13
38,hithadhoo,-0.6,73.0833,27.23,80,53,4.22,MV,2023-11-13
39,joshimath,30.5667,79.5667,11.39,28,100,2.44,IN,2023-11-13
40,selkirk,50.1436,-96.8845,4.08,78,100,2.68,CA,2023-11-13
41,russellville,35.2784,-93.1338,13.22,71,0,0.0,US,2023-11-13
42,primero de mayo,-32.2552,-58.4228,16.57,81,100,3.62,AR,2023-11-13
43,tabasco,18.0,-92.6667,26.06,94,75,2.57,MX,2023-11-13
44,gizo,-8.103,156.8419,27.81,75,100,3.79,SB,2023-11-13
45,abengourou,6.7297,-3.4964,22.2,98,2,0.72,CI,2023-11-13
46,salalah,17.0151,54.0924,26.05,89,61,2.06,OM,2023-11-13
47,margate,51.3813,1.3862,12.39,79,100,6.26,GB,2023-11-13
48,ribeira grande,38.5167,-28.7,15.99,89,100,1.79,PT,2023-11-13
49,vilyuchinsk,52.9306,158.4028,-2.26,68,100,2.62,RU,2023-11-13
